month,precipitation_mm,hist_mean_mm,stdev_hist_mm
1997-04,47.14,61.535,32.9998
1997-05,107.67,75.0977,34.8745
1997-06,132.04,81.7337,34.5557
1997-07,85.52,81.576,36.3886
1997-08,54.65,84.272,47.8555
1997-09,33.67,76.36,43.2947
1997-10,81.3,81.0067,37.7022
1997-11,65.33,78.221,24.6453
1997-12,87.75,91.061,37.3262
1998-01,77.53,84.9467,42.0869
1998-02,12.35,71.848,38.2315
1998-03,84.13,78.902,36.3833
1998-04,128.77,61.535,32.9998
1998-05,41.89,75.0977,34.8745
1998-06,117.83,81.7337,34.5557
1998-07,64.5,81.576,36.3886
1998-08,60.38,84.272,47.8555
1998-09,173.51,76.36,43.2947
1998-10,179.1,81.0067,37.7022
1998-11,85.45,78.221,24.6453
1998-12,74.93,91.061,37.3262
1999-01,112.79,84.9467,42.0869
1999-02,121,71.848,38.2315
1999-03,81.9,78.902,36.3833
1999-04,77.91,61.535,32.9998
1999-05,48.08,75.0977,34.8745
1999-06,90.41,81.7337,34.5557
1999-07,62.14,81.576,36.3886
1999-08,91.95,84.272,47.8555
1999-09,87.74,76.36,43.2947
1999-10,67.25,81.0067,37.7022
1999-11,58.99,78.221,24.6453
1999-12,176.2,91.061,37.3262
2000-01,67.72,84.9467,42.0869
2000-02,105.41,71.848,38.2315
2000-03,78.55,78.902,36.3833
2000-04,54.26,61.535,32.9998
2000-05,81.47,75.0977,34.8745
2000-06,45.01,81.7337,34.5557
2000-07,219.36,81.576,36.3886
2000-08,63.97,84.272,47.8555
2000-09,93.61,76.36,43.2947
2000-10,81.34,81.0067,37.7022
2000-11,79.66,78.221,24.6453
2000-12,64.86,91.061,37.3262
2001-01,99.14,84.9467,42.0869
2001-02,82.64,71.848,38.2315
2001-03,134.53,78.902,36.3833
2001-04,125.57,61.535,32.9998
2001-05,27.8,75.0977,34.8745
2001-06,62.96,81.7337,34.5557
2001-07,87.48,81.576,36.3886
2001-08,58.9,84.272,47.8555
2001-09,153.18,76.36,43.2947
